# ----------------------------------------
# one2team.com - primary reporting
# New Custom Report
# 20161101-20170131
# ----------------------------------------

Date,Source,Medium,Sessions,Pageviews,Time on Page
20170114,google,cpc,40,48,00:21:31
20170118,(direct),(none),40,73,01:05:37
20170124,(direct),(none),40,53,00:25:02
20161109,(direct),(none),39,65,01:06:34
20161119,google,cpc,39,57,00:20:07
20161122,(direct),(none),39,88,01:31:44
20161211,google,organic,39,63,00:41:08
20161229,google,cpc,39,57,00:17:55
20170107,google,cpc,39,49,00:06:25
20161130,(direct),(none),38,94,01:07:57
20161213,(direct),(none),38,63,00:43:30
20161228,google,organic,38,74,00:48:55
20170120,(direct),(none),38,90,02:01:46
20161221,(direct),(none),37,60,01:29:45
20161105,google,organic,36,63,00:54:03
20161127,google,organic,36,65,01:26:10
20161226,google,cpc,36,37,00:01:40
20161110,(direct),(none),35,71,00:39:50
20161119,google,organic,35,83,02:12:29
20161126,google,cpc,35,43,00:05:30
20161219,(direct),(none),35,72,00:50:43
20161227,google,organic,35,71,00:39:15
20161120,google,cpc,34,39,00:22:10
20161128,(direct),(none),34,46,00:12:58
20161209,(direct),(none),34,57,00:31:37
20161230,google,organic,34,78,01:15:13
20161103,(direct),(none),33,79,01:31:50
20161203,google,organic,33,119,01:26:59
20161204,google,organic,33,63,00:37:06
20161210,google,organic,33,59,00:40:30
20161212,(direct),(none),33,54,00:27:50
20161223,google,organic,33,83,00:57:30
20161224,google,cpc,33,38,00:02:52
20161229,google,organic,33,59,00:46:31
20170109,(direct),(none),33,47,00:06:28
20170113,(direct),(none),33,77,01:15:28
20161210,google,cpc,32,41,00:31:04
20161216,(direct),(none),32,96,01:23:43
20161217,(direct),(none),32,62,01:05:42
20161217,google,cpc,32,44,00:22:10
20170108,google,organic,32,57,00:51:49
20161112,google,cpc,31,36,00:04:36
20161127,google,cpc,31,38,00:16:31
20170122,google,organic,31,47,00:28:48
20161115,(direct),(none),30,52,00:29:50
20161116,(direct),(none),30,61,00:58:31
20161207,(direct),(none),30,55,00:57:08
20161217,google,organic,30,51,00:54:07
20170107,google,organic,30,43,00:32:40
20170111,(direct),(none),30,58,01:28:38
20161112,google,organic,29,62,00:44:34
20161114,(direct),(none),29,53,00:22:40
20161124,(direct),(none),29,62,00:45:05
20161218,google,cpc,29,44,00:12:17
20161226,google,organic,29,58,00:43:26
20161205,(direct),(none),28,99,01:27:18
20161208,(direct),(none),28,42,00:21:24
20161220,hs_email,email,28,48,00:48:26
20161231,google,cpc,28,40,00:23:02
20170131,google,cpc,28,29,00:20:12
20161125,(direct),(none),27,51,00:31:35
20170101,google,cpc,27,35,00:20:54
20170103,(direct),(none),27,81,01:27:48
20161105,google,cpc,26,31,00:03:58
20161218,google,organic,26,36,00:43:31
20161106,google,organic,25,41,00:42:34
20161117,(direct),(none),25,45,01:19:15
20161118,(direct),(none),25,124,03:08:23
20161121,(direct),(none),25,60,01:41:25
20170114,google,organic,25,40,00:24:13
20170115,google,organic,25,34,00:38:34
20161106,google,cpc,24,29,00:27:24
20170102,(direct),(none),24,38,00:12:11
20161111,(direct),(none),23,78,01:06:37
20161204,(direct),(none),22,40,00:13:32
20170104,(direct),(none),22,40,00:15:18
20170112,hs_email,email,22,40,00:31:12
20170121,google,organic,22,37,00:15:13
20161126,(direct),(none),21,31,00:09:16
20161227,(direct),(none),21,38,00:17:14
20161228,(direct),(none),21,30,00:10:59
20170112,(direct),(none),21,44,01:14:37
20161108,(direct),(none),20,41,00:36:14
20161126,google,organic,20,26,00:02:22
20170129,google,organic,20,48,00:49:13
20170115,(direct),(none),19,19,00:00:01
20161113,(direct),(none),18,41,00:30:13
20161223,(direct),(none),18,27,00:29:49
20161230,(direct),(none),18,24,00:02:35
20170105,(direct),(none),18,24,00:05:46
20170128,google,organic,17,33,00:36:23
20161101,(direct),(none),16,119,02:18:16
20161106,(direct),(none),16,20,00:06:12
20161226,(direct),(none),16,20,00:31:00
20170107,(direct),(none),16,23,00:21:12
20170128,(direct),(none),16,17,00:03:32
20161112,(direct),(none),15,18,00:02:20
20161117,linkedin,social,14,14,00:00:00
20161224,google,organic,14,18,00:06:48
20161225,google,organic,14,25,01:15:35
20161229,(direct),(none),14,26,00:07:33
20161231,google,organic,14,20,00:02:42
20170113,hs_email,email,14,21,00:15:45
20170106,(direct),(none),13,48,01:24:35
20170108,(direct),(none),13,45,01:12:13
20170122,(direct),(none),13,17,00:23:53
20170116,images.google.fr,referral,12,16,00:01:10
20170116,linkedin,cpc,12,14,00:03:50
20170117,hs_email,email,12,15,00:04:34
20161119,(direct),(none),11,19,00:06:17
20161120,(direct),(none),11,11,00:00:00
20161206,blog.capterra.com,referral,11,26,00:20:36
20161210,(direct),(none),11,22,00:26:57
20170110,hs_email,email,11,15,00:02:32
20170117,linkedin,cpc,11,12,00:02:41
20170129,(direct),(none),11,12,00:00:31
20161211,(direct),(none),10,19,00:07:36
20170101,(direct),(none),10,13,00:01:51
20170112,linkedin.com,referral,10,15,00:09:56
20161121,images.google.fr,referral,9,12,00:00:07
20161201,images.google.fr,referral,9,15,00:02:24
20161218,(direct),(none),9,12,00:01:52
20161225,google,cpc,9,9,00:00:00
20170114,(direct),(none),9,12,00:02:14
20161105,(direct),(none),8,8,00:00:00
20161117,images.google.fr,referral,8,13,00:11:58
20161130,twitter,social,8,8,00:00:00
20161202,bing,organic,8,10,00:01:28
20161225,(direct),(none),8,8,00:00:01
20170101,google,organic,8,15,00:58:46
20170105,images.google.fr,referral,8,10,00:00:56
20170111,linkedin.com,referral,8,20,00:16:16
20170130,bing,organic,8,16,00:04:20
20161110,twitter,social,7,11,00:23:40
20161116,linkedin,social,7,8,00:00:07
20161116,lnkd.in,referral,7,8,00:00:49
20161116,twitter,social,7,17,00:43:42
20161118,capterra.com,cpc,7,32,00:56:54
20161118,images.google.fr,referral,7,8,00:00:07
20161118,linkedin,social,7,12,00:09:38
20161127,(direct),(none),7,11,00:04:15
20161128,images.google.fr,referral,7,9,00:10:27
20161201,bing,organic,7,11,00:14:07
20161208,images.google.fr,referral,7,8,00:00:02
20161215,images.google.fr,referral,7,8,00:18:32
20170106,images.google.fr,referral,7,9,00:00:09
20170109,images.google.fr,referral,7,10,00:01:29
20170117,facebook,cpc,7,15,00:14:55
20170117,images.google.fr,referral,7,9,00:01:42
20170121,(direct),(none),7,17,00:44:50
20161114,bing,organic,6,12,00:05:37
20161115,images.google.fr,referral,6,6,00:00:00
20161116,capterra.com,cpc,6,11,00:22:17
20161118,bing,organic,6,16,00:54:40
20161212,bing,organic,6,14,00:16:38
20161214,capterra.com,cpc,6,12,00:13:29
20161222,hs_email,email,6,7,00:00:35
20161223,hs_email,email,6,12,00:07:50
20161231,(direct),(none),6,6,00:00:01
20170116,facebook,cpc,6,8,00:02:35
20170118,linkedin,cpc,6,9,00:00:49
20170119,hs_email,email,6,59,01:13:45
20170123,images.google.fr,referral,6,6,00:00:00
20170124,images.google.fr,referral,6,6,00:00:00
20170131,images.google.fr,referral,6,7,00:16:43
20161102,l.facebook.com,referral,5,7,00:21:11
20161108,bing,organic,5,7,00:11:55
20161111,linkedin.com,referral,5,14,00:05:15
20161114,images.google.fr,referral,5,8,00:00:41
20161116,facebook,social,5,5,00:00:00
20161116,l.facebook.com,referral,5,5,00:00:00
20161117,bing,organic,5,18,00:11:37
20161118,excellence-operationnelle.info,referral,5,9,00:03:38
20161122,images.google.fr,referral,5,6,00:00:09
20161123,bing,organic,5,5,00:00:00
20161129,linkedin.com,referral,5,7,00:00:28
20161130,images.google.fr,referral,5,5,00:00:00
20161202,images.google.fr,referral,5,6,00:01:23
20161203,facebook,cpc,5,5,00:00:00
20161205,images.google.fr,referral,5,6,00:00:02
20161207,bing,organic,5,10,00:02:20
20161207,images.google.fr,referral,5,6,00:00:04
20161211,images.google.fr,referral,5,6,00:00:03
20161213,bing,organic,5,11,00:05:57
20161213,capterra.com,cpc,5,8,00:03:54
20161214,bing,organic,5,10,00:05:03
20161222,l.facebook.com,referral,5,5,00:00:00
20161230,images.google.fr,referral,5,9,00:02:45
20170104,images.google.fr,referral,5,5,00:00:00
20170109,bing,organic,5,11,00:02:54
20170110,bing,organic,5,13,00:15:31
20170110,linkedin.com,referral,5,12,00:18:39
20170112,images.google.fr,referral,5,6,00:00:06
20170113,images.google.fr,referral,5,6,00:05:17
20170116,images.google,organic,5,7,00:01:07
20170118,bing,organic,5,7,00:00:52
20170118,images.google.fr,referral,5,7,00:00:10
20170127,hs_email,email,5,14,00:43:49
20161103,l.facebook.com,referral,4,14,00:42:10
20161103,linkedin.com,referral,4,6,00:00:10
20161104,one2team.com,referral,4,5,00:00:05
20161106,images.google.fr,referral,4,10,00:00:46
20161108,images.google,organic,4,4,00:00:00
20161108,images.google.fr,referral,4,6,00:00:13
20161109,l.facebook.com,referral,4,9,00:00:56
20161109,twitter,social,4,17,00:04:52
20161113,images.google.fr,referral,4,9,00:04:33
20161113,linkedin.com,referral,4,8,00:02:48
20161115,bing,organic,4,15,00:06:11
